texto,categoria
Coletamos seus dados pessoais quando você se cadastra em nosso site.,coleta_dados
As informações fornecidas serão utilizadas para melhorar nossos serviços.,finalidade
Seus dados podem ser compartilhados com parceiros comerciais.,compartilhamento
Armazenamos suas informações pelo período de 5 anos.,armazenamento
Utilizamos criptografia para proteger seus dados.,seguranca
Você tem o direito de solicitar a exclusão de seus dados a qualquer momento.,direitos_titular
Nosso site utiliza cookies para melhorar sua experiência de navegação.,cookies
Seus dados podem ser transferidos para servidores localizados nos Estados Unidos.,internacional
Não coletamos dados de menores de 13 anos sem autorização dos pais.,criancas
Entre em contato com nosso encarregado de dados através do email dpo@empresa.com.,contato
Esta política pode ser alterada a qualquer momento sem aviso prévio.,alteracoes
Garantimos a confidencialidade de suas informações pessoais.,seguranca
O tratamento de dados é realizado com base em seu consentimento.,finalidade
Você pode revogar seu consentimento a qualquer momento.,direitos_titular
Coletamos automaticamente informações sobre seu dispositivo e navegação.,coleta_dados
Compartilhamos dados com fornecedores de serviços de pagamento.,compartilhamento
Mantemos registros de acesso por questões de segurança.,armazenamento
Utilizamos tecnologias de rastreamento como pixels e web beacons.,cookies
A transferência internacional é realizada com garantias adequadas.,internacional
Implementamos medidas técnicas e administrativas de proteção.,seguranca
Você tem direito à portabilidade dos seus dados.,direitos_titular
Para menores de idade é necessário consentimento dos responsáveis legais.,criancas
Quaisquer dúvidas podem ser encaminhadas para privacidade@empresa.com.,contato
Recomendamos que você revise periodicamente esta política.,alteracoes
Os dados coletados incluem nome endereço email e telefone.,coleta_dados
A finalidade principal é o cumprimento de obrigações contratuais.,finalidade
Podemos divulgar informações em caso de ordem judicial.,compartilhamento
O prazo de retenção varia conforme a finalidade do tratamento.,armazenamento
Realizamos auditorias regulares de segurança da informação.,seguranca
Você pode acessar e corrigir seus dados pessoais.,direitos_titular
Usamos cookies essenciais e cookies de terceiros.,cookies
A adequação do país de destino é verificada antes da transferência.,internacional
Crianças e adolescentes requerem tratamento especial de dados.,criancas
O encarregado pelo tratamento de dados pode ser contatado pelo formulário.,contato
Notificaremos sobre mudanças significativas nesta política.,alteracoes
Solicitamos apenas os dados necessários para a prestação do serviço.,coleta_dados
O legítimo interesse pode ser a base legal para o tratamento.,finalidade
Não vendemos suas informações pessoais a terceiros.,compartilhamento
Dados anonimizados podem ser mantidos indefinidamente.,armazenamento
Seu computador fica protegido contra acessos não autorizados.,seguranca
Você tem direito de se opor ao tratamento de dados.,direitos_titular
Cookies podem ser desabilitados nas configurações do navegador.,cookies
Transferimos dados apenas para países com proteção adequada.,internacional
Coletamos dados de menores apenas com consentimento específico dos pais.,criancas
Para exercer seus direitos entre em contato conosco.,contato
Esta política está em conformidade com a LGPD.,outros
Respeitamos sua privacidade e protegemos suas informações.,outros
Processamos dados de acordo com princípios de transparência e segurança.,outros
As práticas descritas aplicam-se a todos os usuários.,outros
Nosso compromisso é com a proteção de dados pessoais.,outros
A Shopee poderá alterar esta Política de Privacidade a qualquer momento mediante publicação no site.,alteracoes
Recomendamos que você revise periodicamente esta política para se manter informado sobre mudanças.,alteracoes
Quaisquer alterações entrarão em vigor imediatamente após a publicação da versão atualizada.,alteracoes
Notificaremos os usuários sobre modificações substanciais através de e-mail ou aviso destacado na plataforma.,alteracoes
A coleta de dados pessoais ocorre quando você cria uma conta ou realiza uma compra na plataforma.,coleta_dados
Coletamos informações sobre suas transações incluindo histórico de compras e métodos de pagamento.,coleta_dados
Dados de navegação como endereço IP tipo de dispositivo e cookies são coletados automaticamente.,coleta_dados
Podemos compartilhar suas informações com prestadores de serviços que nos auxiliam nas operações.,compartilhamento
Seus dados podem ser compartilhados com autoridades governamentais quando exigido por lei.,compartilhamento
Não vendemos nem alugamos suas informações pessoais para terceiros sem seu consentimento explícito.,compartilhamento
Utilizamos seus dados para processar pedidos personalizar sua experiência e melhorar nossos serviços.,finalidade
A finalidade do tratamento inclui prevenção de fraudes e garantia da segurança da plataforma.,finalidade
Os dados coletados são necessários para o cumprimento de obrigações legais e regulatórias.,finalidade
Utilizamos cookies essenciais para o funcionamento do site e cookies analíticos para entender o comportamento dos usuários.,cookies
Você pode gerenciar suas preferências de cookies através das configurações do navegador.,cookies
Cookies de terceiros podem ser utilizados para exibir anúncios personalizados baseados em seus interesses.,cookies
Não coletamos intencionalmente dados de crianças menores de 13 anos sem autorização parental.,criancas
Pais e responsáveis podem solicitar a exclusão de dados de menores através do nosso canal de atendimento.,criancas
Para usuários menores de idade o uso da plataforma requer consentimento dos responsáveis legais.,criancas
Armazenamos seus dados pelo tempo necessário para cumprir as finalidades para as quais foram coletados.,armazenamento
Os dados serão retidos conforme exigido por lei ou enquanto sua conta permanecer ativa.,armazenamento
Após o término do período de retenção seus dados serão excluídos ou anonimizados de forma segura.,armazenamento
Para exercer seus direitos ou esclarecer dúvidas entre em contato com nosso Encarregado de Dados.,contato
Você pode nos contatar através do e-mail privacidade@shopee.com.br ou pelo formulário no site.,contato
O canal de atendimento para questões de privacidade está disponível de segunda a sexta das 9h às 18h.,contato
Seus dados podem ser transferidos e armazenados em servidores localizados em outros países.,internacional
A transferência internacional de dados ocorre com garantias adequadas de proteção conforme a LGPD.,internacional
Tomamos medidas para assegurar que países destinatários ofereçam nível adequado de proteção de dados.,internacional
Reservamo-nos o direito de modificar esta política a qualquer momento.,alteracoes
Atualizações desta política serão publicadas nesta página.,alteracoes
Notificaremos você sobre mudanças significativas em nossa política.,alteracoes
Esta política está sujeita a alterações sem aviso prévio.,alteracoes
Revisões desta política entram em vigor imediatamente após publicação.,alteracoes
Recomendamos verificar periodicamente esta política para atualizações.,alteracoes
Seus dados são mantidos por período determinado pela legislação.,armazenamento
Retemos informações pelo tempo necessário para cumprir finalidades declaradas.,armazenamento
Dados são armazenados em servidores seguros localizados no Brasil.,armazenamento
O período de retenção varia conforme o tipo de dado coletado.,armazenamento
Informações são mantidas enquanto sua conta estiver ativa.,armazenamento
"Após exclusão da conta, dados são removidos em até 90 dias.",armazenamento
Registramos informações quando você cria uma conta em nossa plataforma.,coleta_dados
Capturamos dados fornecidos voluntariamente durante o cadastro.,coleta_dados
Obtemos informações automaticamente através de cookies e tecnologias similares.,coleta_dados
Coletamos endereço IP e dados de navegação para análise de uso.,coleta_dados
Seus dados de localização podem ser coletados com seu consentimento.,coleta_dados
Informações de dispositivo são registradas automaticamente ao acessar nosso site.,coleta_dados
Dados de transações são coletados para processamento de pedidos.,coleta_dados
Seus dados podem ser compartilhados com prestadores de serviço contratados.,compartilhamento
Informações são transmitidas a parceiros apenas quando necessário.,compartilhamento
Podemos divulgar dados em resposta a ordens judiciais.,compartilhamento
Compartilhamos informações agregadas e anonimizadas para fins estatísticos.,compartilhamento
Dados podem ser repassados em caso de fusão ou aquisição da empresa.,compartilhamento
"Para dúvidas sobre privacidade, contate nosso DPO através do email.",contato
Envie suas solicitações para privacidade@empresa.com.br.,contato
O encarregado de dados pode ser contatado pelo telefone indicado.,contato
Dúvidas podem ser enviadas através do formulário de contato.,contato
Nossa equipe de privacidade responderá em até 15 dias úteis.,contato
Utilizamos cookies essenciais para funcionamento do site.,cookies
Cookies de análise nos ajudam a entender como você usa a plataforma.,cookies
Você pode gerenciar preferências de cookies nas configurações do navegador.,cookies
Cookies de terceiros podem ser utilizados para publicidade direcionada.,cookies
Pixels e web beacons são empregados para análise de campanhas.,cookies
Tecnologias de rastreamento melhoram sua experiência de navegação.,cookies
Não coletamos intencionalmente dados de menores de 13 anos.,criancas
Pais ou responsáveis devem autorizar o uso por menores de idade.,criancas
Consentimento parental é obrigatório para usuários menores de 18 anos.,criancas
Verificamos idade durante o cadastro para proteção de menores.,criancas
Dados de crianças são tratados com cuidado especial conforme legislação.,criancas
Você pode solicitar acesso aos seus dados pessoais a qualquer momento.,direitos_titular
Possui o direito de corrigir informações incompletas ou desatualizadas.,direitos_titular
