texto,categoria,empresa_origem,data_contribuicao,versao_modelo
Coletamos seus dados pessoais quando você se cadastra em nosso site.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
As informações fornecidas serão utilizadas para melhorar nossos serviços.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser compartilhados com parceiros comerciais.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Armazenamos suas informações pelo período de 5 anos.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Utilizamos criptografia para proteger seus dados.,seguranca,diversos,2025-01-01T00:00:00,v1.0
Você tem o direito de solicitar a exclusão de seus dados a qualquer momento.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Nosso site utiliza cookies para melhorar sua experiência de navegação.,cookies,diversos,2025-01-01T00:00:00,v1.0
Seus dados podem ser transferidos para servidores localizados nos Estados Unidos.,internacional,diversos,2025-01-01T00:00:00,v1.0
Não coletamos dados de menores de 13 anos sem autorização dos pais.,criancas,diversos,2025-01-01T00:00:00,v1.0
Entre em contato com nosso encarregado de dados através do email dpo@empresa.com.,contato,diversos,2025-01-01T00:00:00,v1.0
Esta política pode ser alterada a qualquer momento sem aviso prévio.,alteracoes,diversos,2025-01-01T00:00:00,v1.0
Garantimos a confidencialidade de suas informações pessoais.,seguranca,diversos,2025-01-01T00:00:00,v1.0
O tratamento de dados é realizado com base em seu consentimento.,finalidade,diversos,2025-01-01T00:00:00,v1.0
Você pode revogar seu consentimento a qualquer momento.,direitos_titular,diversos,2025-01-01T00:00:00,v1.0
Coletamos automaticamente informações sobre seu dispositivo e navegação.,coleta_dados,diversos,2025-01-01T00:00:00,v1.0
Compartilhamos dados com fornecedores de serviços de pagamento.,compartilhamento,diversos,2025-01-01T00:00:00,v1.0
Mantemos registros de acesso por questões de segurança.,armazenamento,diversos,2025-01-01T00:00:00,v1.0
Utilizamos tecnologias de rastreamento como pixels e web beacons.,cookies,diversos,2025-01-01T00:00:00,v1.0
A transferência internacional é realizada com garantias adequadas.,internacional,diversos,2025-01-01T00:00:00,v1.0
Implementamos medidas técnicas e administrativas de proteção.,seguranca,diversos,2025-01-01T00:00:00,v1.0
